"time","people_amount"
"1758520801.4328",1
"1758520806.4761",1
"1758520811.5139",1
"1758520816.5357",1
"1758520821.5801",1
"1758520826.609",1
"1758520831.6483",1
"1758520836.6837",1
"1758520841.719",1
"1758520846.7629",1
"1758520851.7874",1
"1758520856.8325",1
"1758520861.8406",1
"1758520866.8649",1
"1758520871.9014",2
"1758520876.9461",2
"1758520881.9938",4
"1758520887.0395",2
"1758520892.0876",3
"1758520897.1102",2
"1758520902.1471",3
"1758520907.1831",2
"1758520912.2299",4
"1758520917.2427",4
"1758520922.262",4
"1758520927.2992",2
"1758520932.3278",3
"1758520937.3424",2
"1758520942.3719",2
"1758520947.3855",2
"1758520952.4283",3
"1758520957.4707",3
"1758520962.5175",2
"1758520967.5517",2
"1758520972.5744",3
"1758520977.593",2
"1758520982.6068",2
"1758520987.6339",2
"1758520992.6701",2
"1758520997.6987",2
"1758521002.7454",2
"1758521007.7825",2
"1758521012.8297",3
"1758521017.8602",3
"1758521022.8997",2
"1758521027.9396",2
"1758521032.9774",3
"1758521038.0072",3
"1758521043.0354",3
"1758521048.0724",3
"1758521053.1093",3
"1758521058.1478",3
"1758521063.1664",3
"1758521068.1962",3
"1758521073.219",2
"1758521078.241",3
"1758521083.2698",3
"1758521088.3157",2
"1758521093.3275",2
"1758521098.3585",4
"1758521103.4005",4
"1758521108.4221",3
"1758521113.4621",3
"1758521118.4847",5
"1758521123.5148",3
"1758521128.552",3
"1758521133.5853",4
"1758521138.6055",3
"1758521143.6305",3
"1758521148.6676",3
"1758521153.6963",3
"1758521158.737",4
"1758521163.7747",3
"1758521168.8202",4
"1758521173.8349",4
"1758521178.8572",5
"1758521183.8774",4
"1758521188.904",3
"1758521193.9179",4
"1758521198.9378",5
"1758521203.9597",4
"1758521208.9972",4
"1758521214.0318",4
"1758521219.0626",4
"1758521224.0965",3
"1758521229.1302",2
"1758521234.1543",2
"1758521239.1858",3
"1758521244.2145",2
"1758521249.2473",1
"1758521254.2787",1
"1758521259.3043",1
"1758521264.3378",1
"1758521269.3661",1
"1758521274.3895",1
"1758521279.4217",1
"1758521284.4483",1
"1758521289.4813",1
"1758521294.5108",1
"1758521299.5287",1
"1758521304.5536",3
"1758521309.5849",1
"1758521314.61",1
"1758521319.6463",1
"1758521324.6934",1
"1758521329.7304",1
"1758521334.7614",1
"1758521339.789",1
"1758521344.825",1
"1758521349.8708",1
"1758521354.9074",1
"1758521359.9447",2
"1758521364.9792",1
"1758521370.0087",1
"1758521375.0379",1
"1758521380.0741",1
"1758521385.1112",1
"1758521390.1413",2
"1758521395.1592",3
"1758521400.2043",3
"1758521405.2269",2
"1758521410.2656",2
"1758521415.3128",2
"1758521420.3393",2
"1758521425.3725",2
"1758521430.3881",2
"1758521435.409",2
"1758521440.4385",3
"1758521445.4847",1
"1758521450.5307",1
"1758521455.5666",1
"1758521460.6067",1
"1758521465.6346",0
"1758521470.6784",0
"1758521475.7005",0
"1758521480.7252",0
"1758521485.7526",0
"1758521490.789",0
"1758521495.8191",0
"1758521500.8367",0
"1758521505.8681",0
"1758521510.8974",0
"1758521515.9187",0
"1758521520.9337",0
"1758521525.9533",0
"1758521530.9723",0
"1758521535.9931",0
"1758521541.0226",1
"1758521546.0468",0
"1758521551.0702",0
"1758521556.1091",0
"1758521561.1539",0
"1758521566.1872",0
"1758521571.2128",0
"1758521576.251",0
"1758521581.2672",0
"1758521586.285",0
"1758521591.3184",0
"1758521596.3414",0
"1758521601.3749",0
"1758521606.4119",0
"1758521611.4325",0
"1758521616.4695",0
"1758521621.5023",0
"1758521626.5249",0
"1758521631.5348",0
"1758521636.5545",0
"1758521641.5875",0
"1758521646.6181",0
"1758521651.6487",0
"1758521656.6827",0
"1758521661.7117",0
"1758521666.7334",0
"1758521671.7537",0
"1758521676.7682",1
"1758521681.8023",2
"1758521686.8278",1
"1758521691.8637",1
"1758521696.892",1
"1758521701.9117",1
"1758521706.9497",1
"1758521711.9962",1
"1758521717.0168",1
"1758521722.0375",1
"1758521727.066",1
"1758521732.0936",1
"1758521737.1287",1
