"time","people_amount"
"1758693600.7106",1
"1758693605.7268",1
"1758693610.74",1
"1758693615.7539",1
"1758693620.8006",1
"1758693625.83",1
"1758693630.8471",1
"1758693635.8841",1
"1758693640.9199",1
"1758693645.9509",1
"1758693650.9814",1
"1758693656.0179",1
"1758693661.0456",2
"1758693666.0843",2
"1758693671.1186",1
"1758693676.1434",1
"1758693681.1793",2
"1758693686.196",2
"1758693691.2117",1
"1758693696.2315",1
"1758693701.2611",1
"1758693706.2727",1
"1758693711.2943",1
"1758693716.3118",1
"1758693721.329",1
"1758693726.3463",2
"1758693731.3574",0
"1758693736.3771",1
"1758693741.3983",0
"1758693746.4077",1
"1758693751.4249",2
"1758693756.4398",1
"1758693761.4697",0
"1758693766.5008",1
"1758693771.5276",1
"1758693776.5518",0
"1758693781.5737",0
"1758693786.6094",0
"1758693791.6456",1
"1758693796.6757",1
"1758693801.696",1
"1758693806.7222",0
"1758693811.7474",0
"1758693816.7746",1
"1758693821.8035",1
"1758693826.8339",1
"1758693831.8592",0
"1758693836.8858",0
"1758693841.9141",1
"1758693846.9443",1
"1758693851.9667",1
"1758693856.9874",2
"1758693862.0095",1
"1758693867.0312",1
"1758693872.055",2
"1758693877.068",1
"1758693882.094",2
"1758693887.1327",1
"1758693892.1575",1
"1758693897.1863",0
"1758693902.2259",1
"1758693907.2627",2
"1758693912.2936",2
"1758693917.3147",1
"1758693922.3413",1
"1758693927.3696",1
"1758693932.3911",2
"1758693937.4054",2
"1758693942.4259",2
"1758693947.4472",2
"1758693952.4767",1
"1758693957.4893",1
"1758693962.5167",1
"1758693967.5452",1
"1758693972.5642",1
"1758693977.5937",1
"1758693982.6235",2
"1758693987.6452",0
"1758693992.6754",0
"1758693997.7043",2
"1758694002.7271",1
"1758694007.753",1
"1758694012.7779",1
"1758694017.7961",1
"1758694022.8206",1
"1758694027.8605",1
"1758694032.8928",1
"1758694037.9",1
"1758694042.9313",1
"1758694047.9587",1
"1758694053.0048",2
"1758694058.0284",2
"1758694063.0464",2
"1758694068.075",2
"1758694073.0842",1
"1758694078.0906",1
"1758694083.1093",1
"1758694088.1287",2
"1758694093.1471",2
"1758694098.1846",1
"1758694103.1941",1
"1758694108.217",1
"1758694113.2455",1
"1758694118.2655",2
"1758694123.2957",1
"1758694128.3267",1
"1758694133.365",1
"1758694138.3793",1
"1758694143.3999",1
"1758694148.4374",1
"1758694153.4496",1
"1758694158.4644",1
"1758694163.4884",1
"1758694168.5201",1
"1758694173.5647",1
"1758694178.5749",1
"1758694183.5861",2
"1758694188.5909",1
"1758694193.624",1
"1758694198.6573",2
"1758694203.6611",2
"1758694208.6891",1
"1758694213.7266",2
"1758694218.7455",1
"1758694223.7821",2
"1758694228.8119",1
"1758694233.848",2
"1758694238.8949",1
"1758694243.9259",2
"1758694248.9459",2
"1758694253.9513",1
"1758694258.9971",1
"1758694264.0272",1
"1758694269.0656",1
"1758694274.0807",0
"1758694279.1294",1
"1758694284.1662",0
"1758694289.2095",0
"1758694294.2553",1
"1758694299.2895",1
"1758694304.3138",0
"1758694309.3148",2
"1758694314.345",2
"1758694319.3727",1
"1758694324.4089",1
"1758694329.4391",1
"1758694334.4663",1
"1758694339.4864",1
"1758694344.5039",2
"1758694349.5275",1
"1758694354.5542",1
"1758694359.571",1
"1758694364.6076",2
"1758694369.6295",3
"1758694374.6609",1
"1758694379.6862",2
"1758694384.719",2
"1758694389.7602",3
"1758694394.7895",2
"1758694399.8243",2
"1758694404.8561",2
"1758694409.8891",2
"1758694414.9202",1
"1758694419.9446",1
"1758694424.9692",1
"1758694429.9863",1
"1758694435.0052",1
"1758694440.0292",1
"1758694445.0538",1
"1758694450.0707",1
"1758694455.0859",1
"1758694460.1054",2
"1758694465.1323",1
"1758694470.1581",1
"1758694475.1844",1
"1758694480.2087",1
"1758694485.2299",2
"1758694490.2512",2
"1758694495.28",2
"1758694500.2991",2
"1758694505.3231",1
"1758694510.3461",1
"1758694515.3718",2
"1758694520.3952",2
"1758694525.4243",1
"1758694530.4606",1
"1758694535.4913",2
"1758694540.5068",1
"1758694545.5226",1
"1758694550.5436",1
"1758694555.5665",1
"1758694560.5896",1
"1758694565.611",1
"1758694570.6346",2
"1758694575.6546",2
"1758694580.6797",1
"1758694585.7077",1
"1758694590.7198",1
"1758694595.7416",1
"1758694600.7662",1
"1758694605.7826",1
"1758694610.8007",1
"1758694615.8254",1
"1758694620.8461",1
"1758694625.8742",2
"1758694630.8909",1
"1758694635.9157",1
"1758694640.9371",1
"1758694645.9574",1
"1758694650.9911",1
"1758694656.0159",1
"1758694661.0346",1
"1758694666.0557",1
"1758694671.0748",1
"1758694676.0789",1
"1758694681.1029",1
"1758694686.1289",1
"1758694691.1415",1
"1758694696.1506",2
"1758694701.1719",1
"1758694706.2028",1
"1758694711.2247",2
"1758694716.2464",1
"1758694721.2853",1
"1758694726.3181",1
"1758694731.3316",1
"1758694736.3546",1
"1758694741.3725",1
"1758694746.4045",1
"1758694751.4183",1
"1758694756.4427",1
"1758694761.4815",1
"1758694766.5086",1
"1758694771.5215",1
"1758694776.5423",1
"1758694781.5477",1
